transaction_id,item_id,patron_id,transaction_type,transaction_date,due_date,return_date,renewal_count,fine_amount,fine_paid,fine_waived,staff_id,workstation,notes
TXN000001,ITM000001,PAT000001,Checkout,2025-10-19,2025-11-09,,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000002,ITM000001,PAT000001,Checkin,2025-11-02,,2025-11-02,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000003,ITM000002,PAT000002,Checkout,2025-12-10,2025-12-31,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC2,
TXN000004,ITM000003,PAT000024,Checkout,2025-09-01,2025-09-22,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000005,ITM000003,PAT000024,Checkin,2025-09-15,,2025-09-15,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000006,ITM000004,PAT000028,Checkout,2025-10-14,2025-11-04,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000007,ITM000004,PAT000028,Checkin,2025-10-28,,2025-10-28,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000008,ITM000005,PAT000025,Checkout,2025-11-20,2025-12-11,,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,
TXN000009,ITM000005,PAT000025,Checkin,2025-12-05,,2025-12-05,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,In transit to MAIN
TXN000010,ITM000006,PAT000005,Checkout,2025-11-04,2025-11-25,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000011,ITM000006,PAT000005,Checkin,2025-11-18,,2025-11-18,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000012,ITM000008,PAT000010,Checkout,2025-12-01,2025-12-22,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000013,ITM000009,PAT000003,Checkout,2025-08-06,2025-08-27,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000014,ITM000009,PAT000003,Checkin,2025-08-20,,2025-08-20,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000015,ITM000010,PAT000021,Checkout,2025-09-20,2025-10-11,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000016,ITM000010,PAT000021,Checkin,2025-10-05,,2025-10-05,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000017,ITM000011,PAT000004,Checkout,2025-11-10,2025-12-01,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000018,ITM000011,PAT000004,Checkin,2025-11-25,,2025-11-25,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000019,ITM000012,PAT000018,Checkout,2025-12-08,2025-12-29,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000020,ITM000013,PAT000001,Checkout,2025-10-16,2025-11-06,,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000021,ITM000013,PAT000001,Checkin,2025-10-30,,2025-10-30,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC2,
TXN000022,ITM000014,PAT000015,Checkout,2025-08-27,2025-09-17,,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000023,ITM000014,PAT000015,Checkin,2025-09-10,,2025-09-10,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC2,
TXN000024,ITM000015,PAT000008,Hold Placed,2025-12-09,,,0,0.00,0.00,0.00,SELF,OPAC,Hold placed via OPAC
TXN000025,ITM000015,PAT000019,Checkout,2025-11-25,2025-12-16,,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,
TXN000026,ITM000015,PAT000019,Checkin,2025-12-09,,2025-12-09,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,Trapped for hold - PAT000008
TXN000027,ITM000017,PAT000022,Checkout,2025-07-01,2025-07-22,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000028,ITM000017,PAT000022,Checkin,2025-07-15,,2025-07-15,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000029,ITM000018,PAT000004,Checkout,2025-11-17,2025-12-08,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000030,ITM000018,PAT000004,Checkin,2025-12-01,,2025-12-01,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000031,ITM000019,PAT000003,Checkout,2025-10-08,2025-10-29,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000032,ITM000019,PAT000003,Checkin,2025-10-22,,2025-10-22,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000033,ITM000020,PAT000006,Checkout,2025-12-12,2026-01-02,,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,
TXN000034,ITM000021,PAT000017,Checkout,2025-11-14,2025-12-05,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000035,ITM000021,PAT000017,Checkin,2025-11-28,,2025-11-28,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000036,ITM000022,PAT000008,Checkout,2025-10-01,2025-10-22,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000037,ITM000022,PAT000008,Checkin,2025-10-15,,2025-10-15,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC1,
TXN000038,ITM000023,PAT000005,Checkout,2025-12-05,2025-12-26,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000039,ITM000025,PAT000011,Checkout,2025-10-27,2025-11-17,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000040,ITM000025,PAT000011,Checkin,2025-11-10,,2025-11-10,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000041,ITM000027,PAT000012,Checkout,2025-11-16,2025-12-07,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000042,ITM000027,PAT000012,Checkin,2025-11-30,,2025-11-30,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000043,ITM000028,PAT000018,Checkout,2025-12-11,2026-01-01,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000044,ITM000030,PAT000009,Checkout,2025-12-02,2025-12-23,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000045,ITM000032,PAT000021,Checkout,2025-10-04,2025-10-25,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000046,ITM000032,PAT000021,Checkin,2025-10-18,,2025-10-18,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000047,ITM000033,PAT000007,Checkout,2025-12-07,2025-12-28,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000048,ITM000034,PAT000018,Checkout,2025-11-06,2025-11-27,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000049,ITM000034,PAT000018,Checkin,2025-11-20,,2025-11-20,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000050,ITM000036,PAT000024,Checkout,2025-09-14,2025-10-05,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000051,ITM000036,PAT000024,Checkin,2025-09-28,,2025-09-28,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000052,ITM000038,PAT000014,Checkout,2025-12-03,2025-12-24,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000053,ITM000040,PAT000010,Checkout,2025-11-08,2025-11-29,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000054,ITM000040,PAT000010,Checkin,2025-11-22,,2025-11-22,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000055,ITM000041,PAT000023,Checkout,2025-12-04,2025-12-25,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000056,ITM000042,PAT000019,Checkout,2025-11-17,2025-12-08,,0,0.00,0.00,0.00,STAFF06,WEST-CIRC1,
TXN000057,ITM000042,PAT000019,Checkin,2025-12-01,,2025-12-01,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000058,ITM000043,PAT000008,Checkout,2025-12-09,2025-12-30,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000059,ITM000044,PAT000028,Checkout,2025-09-28,2025-10-19,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000060,ITM000044,PAT000028,Checkin,2025-10-12,,2025-10-12,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000061,ITM000045,PAT000001,Checkout,2025-10-22,2025-11-12,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000062,ITM000045,PAT000001,Checkin,2025-11-05,,2025-11-05,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000063,ITM000047,PAT000011,Checkout,2025-11-01,2025-11-22,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000064,ITM000047,PAT000011,Checkin,2025-11-15,,2025-11-15,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000065,ITM000048,PAT000009,Checkout,2025-12-06,2025-12-27,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000066,ITM000050,PAT000004,Checkout,2025-09-24,2025-10-15,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000067,ITM000050,PAT000004,Checkin,2025-10-08,,2025-10-08,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000068,ITM000051,PAT000002,Checkout,2025-12-10,2025-12-31,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000069,ITM000052,PAT000001,Checkout,2025-10-25,2025-11-15,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000070,ITM000052,PAT000001,Checkin,2025-11-08,,2025-11-08,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000071,ITM000055,PAT000026,Checkout,2025-10-29,2025-11-19,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000072,ITM000055,PAT000026,Checkin,2025-11-12,,2025-11-12,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000073,ITM000056,PAT000005,Checkout,2025-12-08,2025-12-29,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000074,ITM000058,PAT000017,Checkout,2025-11-14,2025-12-05,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000075,ITM000058,PAT000017,Checkin,2025-11-28,,2025-11-28,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000076,ITM000059,PAT000009,Checkout,2025-12-11,2026-01-01,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000077,ITM000060,PAT000022,Checkout,2025-11-18,2025-12-09,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000078,ITM000060,PAT000022,Checkin,2025-12-02,,2025-12-02,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000079,ITM000061,PAT000004,Checkout,2025-10-11,2025-11-01,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000080,ITM000061,PAT000004,Checkin,2025-10-25,,2025-10-25,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000081,ITM000062,PAT000015,Checkout,2025-11-04,2025-11-25,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000082,ITM000062,PAT000015,Checkin,2025-11-18,,2025-11-18,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000083,ITM000063,PAT000023,Checkout,2025-12-09,2025-12-30,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000084,ITM000064,PAT000010,Checkout,2025-12-06,2025-12-27,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000085,ITM000067,PAT000012,Checkout,2025-11-08,2025-11-29,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000086,ITM000067,PAT000012,Checkin,2025-11-22,,2025-11-22,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000087,ITM000068,PAT000001,Checkout,2025-11-16,2025-12-07,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000088,ITM000068,PAT000001,Checkin,2025-11-30,,2025-11-30,0,0.00,0.00,0.00,STAFF02,MAIN-CIRC2,
TXN000089,ITM000070,PAT000026,Checkout,2025-12-12,2026-01-02,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000090,ITM000018,PAT000002,Checkout,2025-10-05,2025-10-26,,0,0.00,0.00,0.00,SELF,MAIN-SELF1,Self-checkout
TXN000091,ITM000018,PAT000002,Renewal,2025-10-26,2025-11-16,,1,0.00,0.00,0.00,SELF,OPAC,Online renewal
TXN000092,ITM000018,PAT000002,Checkin,2025-11-20,,2025-11-20,1,1.00,1.00,0.00,STAFF02,MAIN-CIRC2,4 days overdue - fine paid
TXN000093,ITM000009,PAT000024,Checkout,2025-07-10,2025-07-31,,0,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000094,ITM000009,PAT000024,Renewal,2025-07-31,2025-08-21,,1,0.00,0.00,0.00,SELF,OPAC,Online renewal
TXN000095,ITM000009,PAT000024,Checkin,2025-08-20,,2025-08-20,1,0.00,0.00,0.00,STAFF04,EAST-CIRC1,
TXN000096,ITM000002,PAT000009,Checkout,2025-10-15,2025-11-05,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000097,ITM000002,PAT000009,Checkin,2025-11-12,,2025-11-12,0,1.75,0.00,0.00,STAFF02,MAIN-CIRC2,7 days overdue - fine assessed
TXN000098,ITM000033,PAT000012,Checkout,2025-10-20,2025-11-10,,0,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
TXN000099,ITM000033,PAT000012,Renewal,2025-11-10,2025-12-01,,1,0.00,0.00,0.00,SELF,OPAC,Online renewal
TXN000100,ITM000033,PAT000012,Checkin,2025-12-01,,2025-12-01,1,0.00,0.00,0.00,STAFF01,MAIN-CIRC1,
